Id	Categories	Description
ENOG410ZGUS	S	NA
ENOG410ZGUT	S	Protein of unknown function (DUF456)
ENOG410ZGUU	S	Leucine-rich repeat receptor-like protein kinase
ENOG410ZGUW	S	NA
ENOG410ZGUY	S	NA
ENOG410ZGUZ	S	NA
ENOG410ZGV0	S	NA
ENOG410ZGV2	S	NA
ENOG410ZGV4	S	NA
ENOG410ZGV7	S	NA
ENOG410ZGVJ	S	NA
ENOG410ZGVN	S	NA
ENOG410ZGVR	S	NA
ENOG410ZGVT	S	NA
ENOG410ZGVV	S	NA
ENOG410ZGVX	S	NA
ENOG410ZGVY	S	NA
ENOG410ZGVZ	S	NA
ENOG410ZGW0	S	NA
ENOG410ZGW1	U	Fasciclin domain
ENOG410ZGW2	S	NA
ENOG410ZGW4	S	NA
ENOG410ZGWE	S	Protein of unknown function (DUF2580)
ENOG410ZGWF	S	NA
ENOG410ZGWH	S	NA
ENOG410ZGWK	S	NA
ENOG410ZGWN	S	Protein of unknown function (DUF1311)
ENOG410ZGWQ	S	NA
ENOG410ZGWS	S	NA
ENOG410ZGWU	S	NA
ENOG410ZGWV	S	NA
ENOG410ZGWX	S	Chlorophyll A-B binding protein
ENOG410ZGWY	S	NA
ENOG410ZGWZ	S	NA
ENOG410ZGX1	S	NA
ENOG410ZGX2	S	NA
ENOG410ZGX8	S	Protein of unknown function (DUF1311)
ENOG410ZGXF	S	NA
ENOG410ZGXN	V	HNHc
ENOG410ZGXT	S	NA
ENOG410ZGXV	S	NA
ENOG410ZGXW	S	NA
ENOG410ZGXX	U	Flp/Fap pilin component
ENOG410ZGXY	S	NA
ENOG410ZGXZ	S	NA
ENOG410ZGY0	S	NA
ENOG410ZGY3	S	NA
ENOG410ZGY5	L	NA
ENOG410ZGY7	S	NA
ENOG410ZGY8	S	NA
ENOG410ZGYD	S	NA
ENOG410ZGYK	S	Protein of unknown function (DUF2752)
ENOG410ZGYM	S	NA
ENOG410ZGYP	S	PDZ domain (Also known as DHR or GLGF)
ENOG410ZGYQ	S	NA
ENOG410ZGYW	S	NA
ENOG410ZGYX	K	Ribbon-helix-helix protein, copG family
ENOG410ZGYZ	S	NA
ENOG410ZGZ2	S	NA
ENOG410ZGZ3	D	cell division protein, FtsL
ENOG410ZGZ5	S	NA
ENOG410ZGZ8	S	NA
ENOG410ZGZD	S	NA
ENOG410ZGZF	S	NA
ENOG410ZGZH	S	Predicted AAA-ATPase
ENOG410ZGZK	S	NA
ENOG410ZGZN	S	GDSL esterase lipase
ENOG410ZGZX	S	NA
ENOG410ZGZY	S	NA
ENOG410ZH00	S	NA
ENOG410ZH02	S	NA
ENOG410ZH05	S	NA
ENOG410ZH0H	S	NA
ENOG410ZH0M	S	NA
ENOG410ZH0N	S	Phosphotransferase enzyme family
ENOG410ZH0P	S	NA
ENOG410ZH0R	S	NA
ENOG410ZH0S	S	NA
ENOG410ZH0U	S	NA
ENOG410ZH0W	C	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions. PetG is required for either the stability or assembly of the cytochrome b6-f complex (By similarity)
ENOG410ZH0X	S	NA
ENOG410ZH11	S	NA
ENOG410ZH12	S	NA
ENOG410ZH15	S	NA
ENOG410ZH17	S	NA
ENOG410ZH1G	S	NA
ENOG410ZH1M	S	Putative transposase, YhgA-like
ENOG410ZH1N	T	Ribosomal protein S6
ENOG410ZH1P	S	NA
ENOG410ZH1R	S	NA
ENOG410ZH1T	S	NA
ENOG410ZH1U	S	NA
ENOG410ZH21	S	NA
ENOG410ZH25	S	endonuclease-reverse transcriptase
ENOG410ZH27	S	Protein of unknown function (DUF1467)
ENOG410ZH29	S	NA
ENOG410ZH2F	N	Pilus biogenesis CpaD protein (pilus_cpaD)
ENOG410ZH2I	S	NA
ENOG410ZH2R	S	NA
ENOG410ZH2U	S	NA
ENOG410ZH2X	S	Methyltransferase domain
ENOG410ZH32	S	NA
ENOG410ZH33	S	NA
ENOG410ZH36	S	NA
ENOG410ZH3A	S	NA
ENOG410ZH3C	S	NA
ENOG410ZH3G	S	NA
ENOG410ZH3H	S	NA
ENOG410ZH3P	S	NA
ENOG410ZH3R	S	Pyrrolo-quinoline quinone
ENOG410ZH3U	S	NA
ENOG410ZH3X	V	HNHc
ENOG410ZH3Z	S	ANK
ENOG410ZH41	S	NA
ENOG410ZH44	N	Flagellar biosynthesis protein, FliO
ENOG410ZH45	S	NA
ENOG410ZH49	S	Oxidoreductase-like protein, N-terminal
ENOG410ZH4B	S	Protein of unknown function (DUF3680) 
ENOG410ZH4C	S	NA
ENOG410ZH4D	S	NA
ENOG410ZH4G	S	NA
ENOG410ZH4I	S	NA
ENOG410ZH4K	S	coiled-coil domain containing 64
ENOG410ZH4N	S	NA
ENOG410ZH4P	S	NA
ENOG410ZH4S	S	NA
ENOG410ZH4W	S	NA
ENOG410ZH4X	S	NA
ENOG410ZH50	S	NA
ENOG410ZH55	S	NA
ENOG410ZH59	S	Type I site-specific deoxyribonuclease
ENOG410ZH5A	S	NA
ENOG410ZH5B	U	PilZ domain
ENOG410ZH5C	S	LRR
ENOG410ZH5D	S	NA
ENOG410ZH5F	S	G patch domain containing 2
ENOG410ZH5K	S	NA
ENOG410ZH5N	S	NA
ENOG410ZH5R	K	Mediator complex subunit 23
ENOG410ZH5T	S	NA
ENOG410ZH5W	S	NA
ENOG410ZH5X	K	NA
ENOG410ZH65	S	Bacterial SH3 domain
ENOG410ZH66	S	NA
ENOG410ZH68	S	NA
ENOG410ZH6A	S	NA
ENOG410ZH6B	S	NA
ENOG410ZH6E	S	NA
ENOG410ZH6F	S	Protein of unknwon function (DUF3310)
ENOG410ZH6H	S	NA
ENOG410ZH6U	S	PCI domain
ENOG410ZH6X	S	NA
ENOG410ZH6Y	S	NA
ENOG410ZH71	S	NA
ENOG410ZH76	S	NA
ENOG410ZH77	S	NA
ENOG410ZH7A	S	NA
ENOG410ZH7C	S	NA
ENOG410ZH7D	S	NA
ENOG410ZH7E	S	propeptide, pepSY amd peptidase M4
ENOG410ZH7F	S	NA
ENOG410ZH7H	S	NA
ENOG410ZH7I	S	NA
ENOG410ZH7K	S	NA
ENOG410ZH7V	L	NA
ENOG410ZH7W	S	NA
ENOG410ZH80	M	NA
ENOG410ZH81	S	NA
ENOG410ZH84	S	FeoA domain
ENOG410ZH88	S	NA
ENOG410ZH89	S	NA
ENOG410ZH8D	O	TraB domain containing
ENOG410ZH8G	S	NA
ENOG410ZH8K	S	NA
ENOG410ZH8M	S	NA
ENOG410ZH8P	S	NA
ENOG410ZH8R	S	Bacterial regulatory proteins, gntR family
ENOG410ZH8Y	K	Cold shock domain containing E1, RNA-binding
ENOG410ZH92	S	Protein of unknown function (DUF3308)
ENOG410ZH95	S	NA
ENOG410ZH9C	S	NA
ENOG410ZH9F	S	filaggrin family member 2
ENOG410ZH9J	S	NA
ENOG410ZH9N	S	NA
ENOG410ZH9R	S	NA
ENOG410ZH9S	S	NA
ENOG410ZH9U	S	NA
ENOG410ZH9V	S	molecule
ENOG410ZH9W	S	NA
ENOG410ZH9Y	T	Protein tyrosine kinase 2
ENOG410ZH9Z	S	NA
ENOG410ZHA3	P	NA
ENOG410ZHA7	S	NA
ENOG410ZHA8	S	NA
ENOG410ZHAD	S	NA
ENOG410ZHAF	S	protein EXECUTER 1, chloroplastic-like
ENOG410ZHAG	S	NA
ENOG410ZHAJ	S	Ulp1 protease family, C-terminal catalytic domain
ENOG410ZHAK	S	NA
ENOG410ZHAQ	S	NA
ENOG410ZHAS	S	NA
ENOG410ZHAT	S	NA
ENOG410ZHAU	S	NA
ENOG410ZHAZ	S	NA
ENOG410ZHB7	S	NA
ENOG410ZHBC	S	NA
ENOG410ZHBD	S	NA
ENOG410ZHBJ	S	epimerase dehydratase
ENOG410ZHBK	S	NA
ENOG410ZHBP	S	NA
ENOG410ZHBU	J	Chlorophyll A-B binding protein
ENOG410ZHBX	S	NA
ENOG410ZHBZ	S	NA
ENOG410ZHC1	S	NA
ENOG410ZHC3	S	NA
ENOG410ZHC4	S	Uncharacterized protein conserved in bacteria (DUF2169)
ENOG410ZHC6	S	SpoVT_AbrB
ENOG410ZHC8	S	Ankyrin repeat
ENOG410ZHCA	S	NA
ENOG410ZHCF	S	Protein of unknown function (DUF2917)
ENOG410ZHCG	S	NA
ENOG410ZHCI	S	NA
ENOG410ZHCK	S	NA
ENOG410ZHCM	S	NA
ENOG410ZHCP	S	NA
ENOG410ZHCQ	S	ZnF_C2H2
ENOG410ZHCR	S	NA
ENOG410ZHCS	S	NA
ENOG410ZHCW	S	Smr domain
ENOG410ZHCX	S	Domain of unknown function (DUF397)
ENOG410ZHCY	S	NA
ENOG410ZHD0	S	NA
ENOG410ZHD2	S	NA
ENOG410ZHD3	S	NA
ENOG410ZHD9	S	NA
ENOG410ZHDE	S	NA
ENOG410ZHDF	S	NA
ENOG410ZHDI	S	head-to-tail joining protein
ENOG410ZHDJ	S	NA
ENOG410ZHDR	S	NA
ENOG410ZHDS	L	NA
ENOG410ZHDT	S	NA
ENOG410ZHDV	S	NA
ENOG410ZHE0	S	NA
ENOG410ZHE2	S	NA
ENOG410ZHE7	S	NA
ENOG410ZHE8	S	NA
ENOG410ZHEB	S	NA
ENOG410ZHEE	S	NA
ENOG410ZHEI	S	CFEM domain
ENOG410ZHEJ	S	NA
ENOG410ZHES	S	NA
ENOG410ZHET	S	NA
ENOG410ZHEV	S	NA
ENOG410ZHEZ	S	NA
ENOG410ZHF1	S	NA
ENOG410ZHF3	K	Myb-like DNA-binding domain
ENOG410ZHF4	S	NA
ENOG410ZHF7	S	NA
ENOG410ZHFA	S	Penicillin amidase
ENOG410ZHFE	S	NA
ENOG410ZHFF	S	NA
ENOG410ZHFG	S	NA
ENOG410ZHFI	S	Pentapeptide repeat protein
ENOG410ZHFJ	S	NA
ENOG410ZHFM	S	NA
ENOG410ZHFP	U	NA
ENOG410ZHFT	S	NA
ENOG410ZHFV	O	family with sequence similarity 123A
ENOG410ZHFX	S	NA
ENOG410ZHG0	S	NA
ENOG410ZHG5	S	NA
ENOG410ZHG7	S	NA
ENOG410ZHGB	S	NA
ENOG410ZHGC	S	NA
ENOG410ZHGF	S	NA
ENOG410ZHGI	S	Domain of unknown function (DUF955)
ENOG410ZHGK	S	NA
ENOG410ZHGN	S	NA
ENOG410ZHGV	K	TNF receptor-associated factor 5
ENOG410ZHGX	S	NA
ENOG410ZHH2	S	NA
ENOG410ZHH4	G	NA
ENOG410ZHH5	S	NA
ENOG410ZHH7	S	NA
ENOG410ZHH8	S	Putative addiction module component
ENOG410ZHHC	S	replication factor A complex, RPA14 subunit
ENOG410ZHHD	K	Transcriptional regulator AbrB family
ENOG410ZHHG	S	NA
ENOG410ZHHK	T	Lipopolysaccharide kinase (Kdo/WaaP) family
ENOG410ZHHM	S	NA
ENOG410ZHHP	S	NA
ENOG410ZHHS	S	Acetyltransferase (GNAT) family
ENOG410ZHHU	S	Protein of unknown function (DUF1016)
ENOG410ZHHW	S	NA
ENOG410ZHI1	S	NA
ENOG410ZHI3	S	Dehydrogenase
ENOG410ZHI5	S	NA
ENOG410ZHIA	S	NA
ENOG410ZHIB	O	NA
ENOG410ZHID	S	NA
ENOG410ZHIF	S	NA
ENOG410ZHIH	S	NA
ENOG410ZHII	S	NA
ENOG410ZHIR	S	NA
ENOG410ZHIV	S	NA
ENOG410ZHIY	S	NA
ENOG410ZHJ0	S	NA
ENOG410ZHJ6	S	PEP-CTERM motif
ENOG410ZHJ7	S	NA
ENOG410ZHJ8	S	Polyketide cyclase / dehydrase and lipid transport
ENOG410ZHJA	S	NA
ENOG410ZHJC	S	RING
ENOG410ZHJF	S	NA
ENOG410ZHJG	S	NA
ENOG410ZHJJ	S	NA
ENOG410ZHJQ	S	NA
ENOG410ZHJR	S	Type I phosphodiesterase / nucleotide pyrophosphatase
ENOG410ZHJS	S	NA
ENOG410ZHJT	S	low density lipoprotein receptor adaptor protein 1
ENOG410ZHJV	S	WD domain, G-beta repeat
ENOG410ZHJW	S	NA
ENOG410ZHJX	S	NA
ENOG410ZHK2	S	NA
ENOG410ZHK4	S	AIG1 family
ENOG410ZHK5	P	FeoA domain
ENOG410ZHK8	S	NA
ENOG410ZHKA	S	NA
ENOG410ZHKB	S	NA
ENOG410ZHKD	S	NADP oxidoreductase coenzyme F420-dependent
ENOG410ZHKE	S	NA
ENOG410ZHKF	S	NA
ENOG410ZHKI	U	NA
ENOG410ZHKJ	S	NA
ENOG410ZHKK	S	NA
ENOG410ZHKQ	S	NA
ENOG410ZHKT	S	NA
ENOG410ZHM5	S	NA
ENOG410ZHM6	S	NA
ENOG410ZHM9	T	microtubule associated serine threonine kinase-like
ENOG410ZHMB	S	NA
ENOG410ZHMD	S	NA
ENOG410ZHME	S	NA
ENOG410ZHMI	S	NA
ENOG410ZHMN	S	NA
ENOG410ZHMT	S	NA
ENOG410ZHMV	S	NA
ENOG410ZHMX	S	TadE-like protein
ENOG410ZHMY	S	NA
ENOG410ZHN0	S	NA
ENOG410ZHN1	S	NA
ENOG410ZHN2	S	NA
ENOG410ZHN8	S	Tellurite resistance protein TerB
ENOG410ZHNA	S	NA
ENOG410ZHNC	S	NA
ENOG410ZHNE	S	NA
ENOG410ZHNH	S	NA
ENOG410ZHNJ	S	NA
ENOG410ZHNM	M	NA
ENOG410ZHNP	S	NA
ENOG410ZHNT	S	Glycosyltransferase family 28 C-terminal domain
ENOG410ZHNV	S	Lsr2 
ENOG410ZHNW	S	Alpha beta hydrolase fold protein
ENOG410ZHNX	S	NA
ENOG410ZHP1	S	NA
ENOG410ZHP3	S	NA
ENOG410ZHP4	S	Phage PhiH1 repressor protein
ENOG410ZHP5	S	NA
ENOG410ZHP6	U	delta-like 2 homolog (Drosophila)
ENOG410ZHPA	S	NA
ENOG410ZHPJ	S	NA
ENOG410ZHPN	S	NA
ENOG410ZHPU	S	NA
ENOG410ZHPV	C	This is one of the two reaction center proteins of photosystem II
ENOG410ZHPX	S	BRO1 domain and CAAX motif containing
ENOG410ZHPY	T	Histidine kinase
ENOG410ZHPZ	S	PHR domain 
ENOG410ZHQ0	S	NA
ENOG410ZHQ2	G	Glycosyl hydrolase BNR repeat-containing protein
ENOG410ZHQ3	S	nhl repeat containing protein
ENOG410ZHQ5	S	Domain-Containing protein
ENOG410ZHQ6	Q	Cytochrome p-450
ENOG410ZHQ9	S	transglutaminase domain protein
ENOG410ZHQA	S	glycosyltransferase
ENOG410ZHQC	S	Pfam:DUF820
ENOG410ZHQD	L	Reverse transcriptase (RNA-dependent DNA polymerase)
ENOG410ZHQE	E	amino acid-binding act
ENOG410ZHQF	S	nhl repeat containing protein
ENOG410ZHQG	S	Kelch repeat type 1-containing protein
ENOG410ZHQI	S	NA
ENOG410ZHQJ	S	diacylglycerol kinase activity
ENOG410ZHQK	T	Serine Threonine protein kinase
ENOG410ZHQM	S	NA
ENOG410ZHQN	S	tetratricopeptide repeat domain-containing protein
ENOG410ZHQP	S	NA
ENOG410ZHQQ	S	Protein of unknown function (DUF1559)
ENOG410ZHQR	S	tetratricopeptide
ENOG410ZHQS	S	NA
ENOG410ZHQT	S	Protein of unknown function (DUF1822)
ENOG410ZHQU	S	male sterility
ENOG410ZHQW	S	B-box zinc finger
ENOG410ZHQX	C	Multiheme c-type cytochrome
ENOG410ZHQY	K	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
ENOG410ZHQZ	S	peptidase M12B ADAM reprolysin
ENOG410ZHR0	S	Adenosine-deaminase (Editase) domain
ENOG410ZHR1	S	NB-ARC domain protein
ENOG410ZHR2	S	NA
ENOG410ZHR3	C	Cytochrome
ENOG410ZHR4	S	Monooxygenase
ENOG410ZHR6	E	NA
ENOG410ZHR7	S	zinc finger protein
ENOG410ZHR8	S	ATP GTP-binding transmembrane protein
ENOG410ZHR9	U	amino acid
ENOG410ZHRA	S	sulfotransferase
ENOG410ZHRB	S	SAM dependent carboxyl methyltransferase
ENOG410ZHRC	T	serine threonine protein kinase
ENOG410ZHRE	S	Fusaric acid resistance protein family
ENOG410ZHRF	S	NA
ENOG410ZHRG	U	Protein of unknown function (DUF1559)
ENOG410ZHRH	S	NA
ENOG410ZHRI	S	NA
ENOG410ZHRM	S	Metallo-beta-lactamase superfamily
ENOG410ZHRN	S	NA
ENOG410ZHRP	S	amino acid
ENOG410ZHRQ	S	NA
ENOG410ZHRS	S	NA
ENOG410ZHRT	O	Heat shock protein DnaJ domain protein
ENOG410ZHRV	S	NA
ENOG410ZHRY	S	Sulfotransferase domain
ENOG410ZHRZ	S	NA
ENOG410ZHS0	S	NA
ENOG410ZHS1	S	von Willebrand factor type A
ENOG410ZHS2	S	NA
ENOG410ZHS3	S	Protein of unknown function (DUF229)
ENOG410ZHS7	S	pkd domain
ENOG410ZHS8	E	amino acid AbC transporter
ENOG410ZHSA	S	heparinase II III family protein
ENOG410ZHSB	S	NA
ENOG410ZHSD	S	NA
ENOG410ZHSF	L	helicase
ENOG410ZHSI	S	KH domain
ENOG410ZHSJ	S	NA
ENOG410ZHSK	S	DISIN
ENOG410ZHSM	A	Complement factor properdin
ENOG410ZHSN	S	NA
ENOG410ZHSP	O	NA
ENOG410ZHSQ	S	Molecular chaperone-like protein
ENOG410ZHSR	S	NA
ENOG410ZHSS	S	lipase, Class 3
ENOG410ZHST	S	thioesterase
ENOG410ZHSV	P	tonB-dependent receptor plug
ENOG410ZHSW	S	NA
ENOG410ZHSX	S	NA
ENOG410ZHSY	S	peptidase C15 pyroglutamyl peptidase I
ENOG410ZHSZ	S	NA
ENOG410ZHT2	S	NA
ENOG410ZHT3	S	NA
ENOG410ZHT4	P	ion transport 2 domain protein
ENOG410ZHT5	S	lipase class 3
ENOG410ZHT8	S	NOTCH protein
ENOG410ZHT9	S	NUDIX domain protein
ENOG410ZHTA	K	Transcriptional regulator, LysR family
ENOG410ZHTB	S	NA
ENOG410ZHTC	S	NA
ENOG410ZHTD	S	NA
ENOG410ZHTE	S	Stigma-specific protein, Stig1
ENOG410ZHTG	L	RNA-directed DNA polymerase
ENOG410ZHTH	E	ABC transporter periplasmic substrate-binding protein
ENOG410ZHTI	S	NA
ENOG410ZHTK	O	Peptidase, S1
ENOG410ZHTM	S	NA
ENOG410ZHTN	S	Conserved hypothetical, protein
ENOG410ZHTP	S	Translocase of chloroplast
ENOG410ZHTQ	S	NA
ENOG410ZHTR	S	NA
ENOG410ZHTT	S	endonuclease exonuclease phosphatase family protein
ENOG410ZHTU	S	Asparagine synthase
ENOG410ZHTV	S	Methyltransferase domain
ENOG410ZHTW	S	NA
ENOG410ZHTX	L	Resolvase
ENOG410ZHTY	S	sulfotransferase
ENOG410ZHTZ	S	Fatty acid hydroxylase superfamily
ENOG410ZHU1	S	Excinuclease ABC C subunit domain protein
ENOG410ZHU2	S	NA
ENOG410ZHU5	S	WD repeatcontaining protein
ENOG410ZHU6	K	AraC family transcriptional regulator
ENOG410ZHU7	S	NA
ENOG410ZHU8	S	NA
ENOG410ZHU9	S	NA
ENOG410ZHUA	P	alkaline phosphatase
ENOG410ZHUB	S	NA
ENOG410ZHUC	T	Response Regulator
ENOG410ZHUE	S	NA
ENOG410ZHUF	S	NA
ENOG410ZHUG	S	NA
ENOG410ZHUM	S	Protein of unknown function (DUF642)
ENOG410ZHUN	S	NA
ENOG410ZHUP	N	GTP-binding signal recognition particle SRP54, G-domain
ENOG410ZHUQ	S	NA
ENOG410ZHUR	S	NA
ENOG410ZHUS	S	NA
ENOG410ZHUT	S	TNF receptor-associated factor 3 interacting protein 1
ENOG410ZHUU	S	NA
ENOG410ZHUW	S	tudor domain containing 6
ENOG410ZHUX	S	NA
ENOG410ZHUY	S	Legume lectin domain
ENOG410ZHV0	S	NA
ENOG410ZHV1	T	PAS PAC sensor
ENOG410ZHV4	S	NA
ENOG410ZHV8	S	NA
ENOG410ZHV9	S	NA
ENOG410ZHVB	S	NA
ENOG410ZHVC	S	NA
ENOG410ZHVD	U	Prokaryotic N-terminal methylation motif
ENOG410ZHVF	C	ATP synthase B/B' CF(0)
ENOG410ZHVG	S	NA
ENOG410ZHVI	S	WH2
ENOG410ZHVK	S	Protein of unknown function (DUF2786)
ENOG410ZHVM	S	META domain
ENOG410ZHVN	S	NA
ENOG410ZHVP	S	NA
ENOG410ZHVQ	S	SH2
ENOG410ZHVR	S	Glyoxalase Bleomycin resistance protein (Dioxygenase
ENOG410ZHVS	S	G patch domain containing 8
ENOG410ZHVT	S	Protein of unknown function, DUF399
ENOG410ZHVU	S	NA
ENOG410ZHVV	G	Xylose isomerase domain protein TIM barrel
ENOG410ZHVW	S	domain protein
ENOG410ZHW0	S	LysM
ENOG410ZHW3	S	NA
ENOG410ZHW4	S	NA
ENOG410ZHW6	S	NA
ENOG410ZHW7	O	heme-binding protein
ENOG410ZHW8	S	ZnF_C2H2
ENOG410ZHW9	G	Glycosyl hydrolase family 98
ENOG410ZHWA	S	NA
ENOG410ZHWG	S	GCC2 and GCC3
ENOG410ZHWI	S	doxx family
ENOG410ZHWJ	S	Phage capsid family 
ENOG410ZHWK	S	NA
ENOG410ZHWP	S	NA
ENOG410ZHWQ	S	NA
ENOG410ZHWT	S	Cation efflux family
ENOG410ZHWU	K	Transcriptional regulator
ENOG410ZHWV	S	Conserved hypothetical, protein
ENOG410ZHWW	T	response regulator
ENOG410ZHWX	S	Beta gamma crystallin family protein
ENOG410ZHWY	S	NA
ENOG410ZHX1	S	NA
ENOG410ZHX3	S	NA
ENOG410ZHX5	S	NA
ENOG410ZHX6	S	Transglycosylase associated protein
ENOG410ZHX8	K	XRE family Transcriptional regulator
ENOG410ZHX9	S	NA
ENOG410ZHXB	T	response regulator
ENOG410ZHXC	S	NA
ENOG410ZHXE	S	cytochrome C, class I
ENOG410ZHXF	S	NA
ENOG410ZHXG	S	ANK
ENOG410ZHXI	S	Uncharacterised protein family (UPF0150)
ENOG410ZHXJ	S	Phosphoprotein phosphatase
ENOG410ZHXK	S	NA
ENOG410ZHXM	S	NA
ENOG410ZHXN	S	pilL protein
ENOG410ZHXP	S	NA
ENOG410ZHXR	S	NA
ENOG410ZHXS	S	WD40-like Beta Propeller Repeat
ENOG410ZHXT	J	50s ribosomal protein l29
ENOG410ZHXU	S	Methyltransferase domain
ENOG410ZHXV	S	HYR domain
ENOG410ZHXW	S	NA
ENOG410ZHXZ	S	NA
ENOG410ZHY2	S	PEP-CTERM motif
ENOG410ZHY3	U	Pleckstrin 2
ENOG410ZHY4	S	CsbD-like
ENOG410ZHY5	S	excalibur
ENOG410ZHY6	S	ethyl tert-butyl ether degradation
ENOG410ZHY7	S	YcfA-like protein
ENOG410ZHY8	S	NA
ENOG410ZHY9	S	NA
ENOG410ZHYB	S	NA
ENOG410ZHYD	K	HTH_XRE
ENOG410ZHYE	S	YcfA-like protein
ENOG410ZHYF	J	30S ribosomal protein S21
ENOG410ZHYH	S	NA
ENOG410ZHYI	S	NA
ENOG410ZHYJ	S	NA
ENOG410ZHYK	S	Protein of unknown function (DUF2877)
ENOG410ZHYM	S	Regulatory protein, FmdB family
ENOG410ZHYN	S	NA
ENOG410ZHYP	O	Glutaredoxin
ENOG410ZHYQ	S	gas vesicle protein
ENOG410ZHYR	S	NA
ENOG410ZHYS	S	Protein of unknown function (DUF493)
ENOG410ZHYT	S	NA
ENOG410ZHYU	S	Nucleic acid binding OB-fold tRNA helicase-type
ENOG410ZHYV	S	NA
ENOG410ZHYW	S	NA
ENOG410ZHYX	S	LysM
ENOG410ZHYY	S	Pentapeptide repeats (8 copies)
ENOG410ZHYZ	S	NA
ENOG410ZHZ0	P	Small multidrug resistance protein
ENOG410ZHZ1	M	Glycosyl transferase family 2
ENOG410ZHZ2	O	FRAS1 related extracellular matrix 1
ENOG410ZHZ3	S	NA
ENOG410ZHZ4	S	Secreted protein
ENOG410ZHZ5	S	PilZ domain
ENOG410ZHZ6	S	NA
ENOG410ZHZ7	S	lysine biosynthesis protein
ENOG410ZHZ8	S	NA
ENOG410ZHZ9	S	Tautomerase enzyme
ENOG410ZHZB	S	Protein of unknown function (DUF721)
ENOG410ZHZC	U	heme exporter protein
ENOG410ZHZD	U	heme exporter protein CcmD
ENOG410ZHZE	S	NA
ENOG410ZHZG	S	NA
ENOG410ZHZH	S	NA
ENOG410ZHZI	S	NA
ENOG410ZHZJ	S	Methyltransferase domain
ENOG410ZHZK	L	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease (By similarity)
ENOG410ZHZM	M	Outer membrane efflux protein
ENOG410ZHZN	O	Egl nine homolog
ENOG410ZHZP	S	NA
ENOG410ZHZR	K	distal-less homeobox
ENOG410ZHZT	S	Cyd operon protein YbgT
ENOG410ZHZU	N	flagellar protein FlaG protein
ENOG410ZHZV	S	RelB antitoxin
ENOG410ZHZW	K	NA
ENOG410ZHZY	S	NA
ENOG410ZHZZ	U	Flp Fap pilin component
ENOG410ZI00	S	NA
ENOG410ZI01	S	Csbd family
ENOG410ZI02	S	NA
ENOG410ZI03	S	Pfam:LACT
ENOG410ZI05	U	Heme exporter protein D (CcmD)
ENOG410ZI06	S	Protein of unknown function (DUF2970)
ENOG410ZI07	K	GntR Family Transcriptional Regulator
ENOG410ZI08	S	Barstar (barnase inhibitor)
ENOG410ZI09	S	NA
ENOG410ZI0B	S	Uncharacterized protein conserved in bacteria (DUF2065)
ENOG410ZI0C	S	Phage-related baseplate assembly protein
ENOG410ZI0D	S	NA
ENOG410ZI0E	L	NA
ENOG410ZI0F	S	Pfam:DUF2078
ENOG410ZI0H	S	Peptidase inhibitor I78 family
ENOG410ZI0I	J	50S ribosomal protein L36
ENOG410ZI0J	S	NA
ENOG410ZI0M	S	NA
ENOG410ZI0N	M	pdz dhr glgf domain protein
ENOG410ZI0P	T	Histidine kinase
ENOG410ZI0Q	P	periplasmic nitrate reductase
ENOG410ZI0R	P	feoA family
ENOG410ZI0S	S	Anti-sigma-K factor rskA
ENOG410ZI0U	K	transcriptional regulator Fis family
ENOG410ZI0W	S	BFD domain protein (2Fe-2S)-binding domain protein
ENOG410ZI0X	S	NA
ENOG410ZI0Y	S	Phosphopantetheine attachment site
ENOG410ZI10	S	to conserved
ENOG410ZI12	S	NA
ENOG410ZI13	S	Transglycosylase associated protein
ENOG410ZI14	S	caa(3)-type oxidase subunit IV
ENOG410ZI15	S	Predicted membrane protein (DUF2157)
ENOG410ZI17	S	NA
ENOG410ZI18	S	Pfam:PhdYeFM
ENOG410ZI19	S	NA
ENOG410ZI1A	S	Protein of unknown function (DUF2283)
ENOG410ZI1C	D	Essential cell division protein (By similarity)
ENOG410ZI1D	S	calcineurin-like phosphoesterase domain containing 1
ENOG410ZI1E	S	Pfam:DUF1239
ENOG410ZI1F	S	Hypothetical protein (DUF2513)
ENOG410ZI1G	S	Protein of unknown function (DUF2384)
ENOG410ZI1I	S	NA
ENOG410ZI1J	S	NA
ENOG410ZI1K	S	regulatory protein, fmdb
ENOG410ZI1M	S	efflux system
ENOG410ZI1N	S	NA
ENOG410ZI1P	S	NA
ENOG410ZI1Q	S	Protein of unknown function (DUF3017)
ENOG410ZI1R	S	NA
ENOG410ZI1S	T	Carbon storage regulator
ENOG410ZI1U	S	Domain of unknown function (DUF955)
